Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Non_Performing Financing Ratio (NPF Ratio),1%,1%,1%,3%,4%,5%,4%,3%,4%,6%,5%
Capital Adequacy Ratio,"17,6%","19,7%","18,8%","17,2%","18,5%",18%,18%,16%,"15,5%","14,7%","16,1%"
Liquidity Coverage Ratio,325%,330%,"340,5%",380%,455%,511%,410%,380%,330%,300%,290%
Loan_to_Deposit Ratio,"67,7%",74%,70%,72%,68%,75%,"69,2%","90,7%",95%,85%,119%
Asset Quality,2%,"1,9%","1,6%","2,2%",3%,"3,7%","5,3%","3,9%","3,4%","3,9%","4,5%"
Profitability/ROA,"2,4%",3%,4%,"4,2%","1,5%","1,2%",1%,"1,2%","1,3%","1,1%",1%
Profitability/ROE,28%,35%,44%,52%,"18,5%","13,2%","11,5%","13,8%","14,5%","12,1%","11,5%"
