Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Inflation Rate (CPI %),30.89%,58.81%,64.77%,72.31%,19.60%,14.60%,11.84%,20.30%,11.92%,8.53%,8.81%
Money Supply M2 ,"25,196,000,000","17,620,000,000","13,874,000,000","3,266,000,000","5,091,000,000","3,111,000,000","2,434,000,000","1,930,000,000","1,623,000,000","1,399,000,000","1,189,000,000"
PB Sectoral Financing ,"2,228,968,000","1,660,000,000","1,023,160,000","772,624,000","358,614,000","240,668,000","175,234,000","134,874,000","108,124,000","81,374,000","79,191,000"
PB Market Share (%),8.87%,8.10%,8.5%,8.3%,7.8%,7.1%,6.3%,5.3%,5%,4.7%,5.1%
